,url,title,year,genre,gross_usa,budget,worldwide_gross,pg_rated,rating,rating_pop
61,https://www.imdb.com/title/tt0054393/,Tormented,1960,"['Horror', 'Thriller']",,,,,4.6,"2,089"
62,https://www.imdb.com/title/tt0053644/,The Bellboy,1960,['Comedy'],,"$900,000",,,6.5,"3,789"
63,https://www.imdb.com/title/tt0054473/,Who Was That Lady?,1960,"['Comedy', 'Romance']",,,,,6.7,"1,168"
64,https://www.imdb.com/title/tt0054483/,The World of Suzie Wong,1960,"['Drama', 'Romance']","$7,300,000",,,,7.1,"2,113"
65,https://www.imdb.com/title/tt0054298/,Sex Kittens Go to College,1960,['Comedy'],,,,,3.8,460
66,https://www.imdb.com/title/tt0150980/,The Housemaid,1960,"['Crime', 'Drama', 'Thriller']",,,,,7.3,"3,195"
67,https://www.imdb.com/title/tt0053901/,Hell to Eternity,1960,"['Biography', 'Drama', 'War']",,"$800,000",,,7.0,"1,030"
68,https://www.imdb.com/title/tt0054412/,Tunes of Glory,1960,['Drama'],,,,,7.5,"3,421"
69,https://www.imdb.com/title/tt0054416/,The Two Faces of Dr. Jekyll,1960,['Horror'],,"GBP146,417",,,6.3,"2,392"
70,https://www.imdb.com/title/tt0054188/,Please Don't Eat the Daisies,1960,"['Comedy', 'Family', 'Romance']",,"$1,775,000",,,6.5,"3,904"
71,https://www.imdb.com/title/tt0052997/,The League of Gentlemen,1960,"['Comedy', 'Crime', 'Thriller']",,"GBP192,000",,,7.3,"3,734"
72,https://www.imdb.com/title/tt0053651/,Beyond the Time Barrier,1960,"['Romance', 'Sci-Fi']",,"$125,000",,,5.3,"1,211"
73,https://www.imdb.com/title/tt0053729/,Comanche Station,1960,"['Drama', 'Western']",,,,,7.0,"3,008"
74,https://www.imdb.com/title/tt0053848/,G.I. Blues,1960,"['Comedy', 'Musical']",,"$2,000,000",,PG,6.3,"3,144"
75,https://www.imdb.com/title/tt0053579/,Late Autumn,1960,"['Comedy', 'Drama']",,,,,8.1,"4,345"
76,https://www.imdb.com/title/tt0052811/,The Flesh and the Fiends,1960,"['Crime', 'Drama', 'Horror']",,,,,7.0,"1,470"
77,https://www.imdb.com/title/tt0054042/,Macario,1960,"['Drama', 'Fantasy', 'Mystery']",,,,,8.4,"2,428"
78,https://www.imdb.com/title/tt0053841/,From the Terrace,1960,"['Drama', 'Romance']","$11,336,000",,,,6.7,"2,394"
79,https://www.imdb.com/title/tt0053571/,The Adventures of Huckleberry Finn,1960,"['Adventure', 'Comedy', 'Drama', 'Family']",,"$1,357,000",,,6.3,"1,279"
80,https://www.imdb.com/title/tt0053717/,Circus of Horrors,1960,"['Horror', 'Drama']",,,,,6.1,"1,496"
81,https://www.imdb.com/title/tt0054292/,Sergeant Rutledge,1960,"['Crime', 'Western']",,,,,7.4,"3,776"
82,https://www.imdb.com/title/tt0055282/,Passport to China,1960,"['Adventure', 'Drama']",,,,,4.9,87
83,https://www.imdb.com/title/tt0053933/,I Passed for White,1960,['Drama'],,,,,6.0,143
84,https://www.imdb.com/title/tt0053645/,Bells Are Ringing,1960,"['Comedy', 'Musical', 'Romance']",,"$3,200,000",,,7.0,"2,747"
85,https://www.imdb.com/title/tt0053957/,It Started in Naples,1960,"['Comedy', 'Drama']",,,,,6.4,"2,250"
86,https://www.imdb.com/title/tt0053690/,Can-Can,1960,"['Comedy', 'Musical']",,"$6,000,000",,,6.4,"1,936"
87,https://www.imdb.com/title/tt0055779/,Wild for Kicks,1960,['Drama'],,,,,6.0,837
88,https://www.imdb.com/title/tt0054172/,Pepe,1960,"['Comedy', 'Musical']","$9,600,000",,,,5.6,839
89,https://www.imdb.com/title/tt0054367/,Tall Story,1960,"['Comedy', 'Sport']","$12,000,000",,,,6.0,781
90,https://www.imdb.com/title/tt0054116/,Never Take Candy from A Stranger,1960,"['Drama', 'Horror', 'Mystery', 'Thriller']",,,,,7.3,"1,105"
91,https://www.imdb.com/title/tt0053768/,Dinosaurus!,1960,"['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Sci-Fi']",,"$450,000",,,5.0,"1,243"
92,https://www.imdb.com/title/tt0053582/,All the Fine Young Cannibals,1960,"['Drama', 'Music', 'Romance']",,,,,6.1,719
93,https://www.imdb.com/title/tt0055993/,The Nudist Story,1960,"['Drama', 'Romance']",,,,,5.7,124
94,https://www.imdb.com/title/tt0054326/,Sons and Lovers,1960,['Drama'],,"$500,000",,,7.1,"1,327"
95,https://www.imdb.com/title/tt0053365/,Playgirl After Dark,1960,"['Crime', 'Drama', 'Romance', 'Thriller']",,,,,6.2,290
96,https://www.imdb.com/title/tt0053810/,The Facts of Life,1960,"['Drama', 'Romance', 'Comedy']",,,,,6.5,"1,252"
97,https://www.imdb.com/title/tt0057238/,The Warped Ones,1960,"['Crime', 'Drama']",,,,,7.0,765
98,https://www.imdb.com/title/tt0053250/,First Spaceship on Venus,1960,['Sci-Fi'],,,,,4.5,"2,468"
99,https://www.imdb.com/title/tt0054371/,"The 1,000 Eyes of Dr. Mabuse",1960,"['Crime', 'Mystery', 'Thriller']",,,,,7.0,"2,799"
100,https://www.imdb.com/title/tt0054453/,The Wackiest Ship in the Army,1960,"['Comedy', 'Drama', 'War']",,,,,6.3,"1,809"
101,https://www.imdb.com/title/tt0054345/,Strangers When We Meet,1960,"['Drama', 'Romance']","$7,412,000",,,,7.1,"1,932"
102,https://www.imdb.com/title/tt0053967/,The Young One,1960,['Drama'],,,"$1,463",,7.4,"2,409"
103,https://www.imdb.com/title/tt0056049/,The Naked Island,1960,['Drama'],,,"$14,673",,8.2,"4,741"
104,https://www.imdb.com/title/tt0052961/,Kapò,1960,"['Drama', 'War']",,,,,7.6,"1,871"
105,https://www.imdb.com/title/tt0054102/,"Murder, Inc.",1960,"['Biography', 'Crime', 'Drama', 'Thriller']",,,,,6.6,"1,210"
106,https://www.imdb.com/title/tt0053598/,The Loves of Hercules,1960,"['Fantasy', 'Adventure']",,,,,3.1,962
107,https://www.imdb.com/title/tt0054017/,Last Woman on Earth,1960,"['Drama', 'Horror', 'Mystery', 'Romance', 'Sci-Fi']",,,,,4.8,"1,706"
108,https://www.imdb.com/title/tt0053879/,The Great Impostor,1960,"['Comedy', 'Drama']",,,,,7.1,"1,114"
109,https://www.imdb.com/title/tt0053994/,Kidnapped,1960,"['Action', 'Adventure', 'Drama', 'Family']",,,,,6.6,"1,254"
110,https://www.imdb.com/title/tt0053106/,Letter Never Sent,1960,"['Adventure', 'Drama']",,,,,7.9,"2,903"
111,https://www.imdb.com/title/tt0052698/,Classe Tous Risques,1960,"['Crime', 'Drama', 'Romance', 'Thriller']","$95,413",,"$95,413",,7.5,"3,060"
112,https://www.imdb.com/title/tt0054494/,Zazie dans le Métro,1960,"['Comedy', 'Fantasy']",,,,,7.0,"5,405"
113,https://www.imdb.com/title/tt0054788/,David and Goliath,1960,"['Action', 'Drama', 'Family', 'History']",,,,,4.9,601
114,https://www.imdb.com/title/tt0054390/,Toby Tyler or Ten Weeks with a Circus,1960,"['Drama', 'Family']",,,,,7.0,836
115,https://www.imdb.com/title/tt0054279/,School for Scoundrels,1960,['Comedy'],,,,,7.4,"3,105"
116,https://www.imdb.com/title/tt0053802/,Blood and Roses,1960,"['Drama', 'Horror', 'Romance']",,,,,6.6,"1,091"
117,https://www.imdb.com/title/tt0054086/,The Millionairess,1960,"['Comedy', 'Drama', 'Romance']",,,,,5.5,"1,596"
118,https://www.imdb.com/title/tt0053800/,Esther and the King,1960,"['Biography', 'Drama', 'History', 'Romance']",,,,,5.5,603
119,https://www.imdb.com/title/tt0054016/,The Last Voyage,1960,"['Action', 'Adventure', 'Drama', 'Thriller']",,"$1,370,000",,,6.7,"1,817"
120,https://www.imdb.com/title/tt0054073/,The Cloud-Capped Star,1960,"['Drama', 'Musical']",,,,,8.0,"2,227"
121,https://www.imdb.com/title/tt0056633/,The Playgirls and the Vampire,1960,['Horror'],,,,,5.1,383
122,https://www.imdb.com/title/tt0054324/,Song Without End,1960,"['Biography', 'Drama', 'Music']",,,,,6.0,601
123,https://www.imdb.com/title/tt0054403/,The Trials of Oscar Wilde,1960,"['Biography', 'Drama', 'History']",,,,,7.1,760
